day,price
2025-06-04,943.48
2025-06-04,943.48
2025-06-04,943.48
2025-06-05,940.1
2025-06-06,942.03
2025-06-07,942.03
2025-06-08,942.03
2025-06-09,943.73
2025-06-10,947.35
2025-06-11,947.35
2025-06-12,946.63
2025-06-13,946.88
2025-06-14,946.88
2025-06-15,946.88
2025-06-16,950.74
2025-06-17,949.05
2025-06-18,950.02
2025-06-19,950.02
2025-06-20,953.4
2025-06-21,953.4
2025-06-22,953.4
2025-06-23,954.85
2025-06-24,956.78
2025-06-25,954.85
2025-06-26,957.75
2025-07-01,915.45
2025-07-02,913.96
2025-07-03,914.42
2025-07-04,913.91
2025-07-05,913.91
2025-07-06,913.91
2025-07-07,911.96
2025-07-08,913.14
2025-07-09,912.88
2025-07-10,908.8
2025-07-11,910.45
2025-07-12,910.45
2025-07-13,910.45
2025-07-14,910.92
2025-07-15,908.53
2025-07-16,907.11
2025-07-17,909.47
2025-07-18,907.81
2025-07-19,907.81
2025-07-20,907.81
2025-07-21,909.46
2025-07-22,912.99
2025-07-23,913.46
2025-07-24,913.69
2025-07-25,913.21
2025-07-26,913.21
2025-07-27,913.21
2025-07-28,913.91
2025-07-29,917.92
2025-07-30,916.5
2025-07-31,914.14
2025-08-01,917.67
2025-08-02,917.67
2025-08-03,917.67
2025-08-04,920.49
2025-08-05,920.01
2025-08-06,920.95
2025-08-07,922.83
2025-08-08,924.94
2025-08-09,924.94
2025-08-10,924.94
2025-08-11,926.35
2025-08-12,929.41
2025-08-13,928.46
2025-08-14,928.45
2025-08-15,930.09
