day,price
2025-06-04,160.99
2025-06-04,160.99
2025-06-04,160.99
2025-06-05,163.19
2025-06-06,160.44
2025-06-07,160.44
2025-06-08,160.44
2025-06-09,157.71
2025-06-10,155.6
2025-06-11,154.98
2025-06-12,157.78
2025-06-13,161.36
2025-06-14,161.36
2025-06-15,161.36
2025-06-16,160.01
2025-06-17,164.34
2025-06-18,167.32
2025-06-19,167.32
2025-06-20,176.48
2025-06-21,176.48
2025-06-22,176.48
2025-06-23,180.48
2025-06-24,178.17
2025-06-25,166.86
2025-06-26,169.14
2025-06-27,171.41
2025-06-28,171.41
2025-06-29,171.41
2025-06-30,176.05
2025-07-01,174.56
2025-07-02,178.51
2025-07-03,173.15
2025-07-04,175.53
2025-07-05,175.53
2025-07-06,175.53
2025-07-07,175.59
2025-07-08,173.35
2025-07-09,171.14
