day,price
2025-06-04,2241.97
2025-06-04,2241.97
2025-06-04,2241.97
2025-06-05,2244.9
2025-06-06,2246.26
2025-06-07,2246.26
2025-06-08,2246.26
2025-06-09,2245.07
2025-06-10,2236.16
2025-06-11,2224.7
2025-06-12,2239.85
2025-06-13,2232.84
2025-06-14,2232.84
2025-06-15,2232.84
2025-06-16,2237.76
2025-06-17,2240.64
2025-06-18,2243.71
2025-06-19,2243.71
2025-06-20,2255.23
2025-06-21,2255.23
2025-06-22,2255.23
2025-06-23,2260.18
2025-06-24,2258.94
2025-06-25,2255.64
2025-06-26,2260.59
2025-06-27,2263.09
2025-06-28,2263.09
2025-06-29,2263.09
2025-06-30,2276.31
2025-07-01,2281.25
2025-07-02,2286.2
2025-07-03,2284.88
2025-07-04,2283.86
