day,price
2025-06-04,842.51
2025-06-04,842.51
2025-06-04,842.51
2025-06-05,838.76
2025-06-06,839.62
2025-06-07,839.62
2025-06-08,839.62
2025-06-09,839.22
2025-06-10,843.85
2025-06-11,846.82
2025-06-12,843.48
2025-06-13,843.08
2025-06-14,843.08
2025-06-15,843.08
2025-06-16,848.99
2025-06-17,847.75
2025-06-18,846.93
2025-06-19,846.93
2025-06-20,853.29
2025-06-21,853.29
2025-06-22,853.29
2025-06-23,854.58
2025-06-24,854.17
2025-06-25,850.8
2025-06-26,853.78
2025-07-01,823.48
2025-07-02,822.59
2025-07-03,820.83
2025-07-04,819.51
2025-07-05,819.51
2025-07-06,819.51
2025-07-07,816.05
2025-07-08,815.18
2025-07-09,814.32
2025-07-10,807.52
2025-07-11,810.47
2025-07-12,810.47
2025-07-13,810.47
2025-07-14,807.52
2025-07-15,803.74
2025-07-16,800.84
2025-07-17,803.75
2025-07-18,800.44
2025-07-19,800.44
2025-07-20,800.44
2025-07-21,802.1
2025-07-22,806.69
2025-07-23,805.44
2025-07-24,804.2
2025-07-25,803.38
2025-07-26,803.38
2025-07-27,803.38
2025-07-28,803.8
2025-07-29,809.64
2025-07-30,808.39
2025-07-31,805.49
2025-08-01,809.24
2025-08-02,809.24
2025-08-03,809.24
2025-08-04,814.69
2025-08-05,813.01
2025-08-06,814.7
2025-08-07,817.64
