day,price
2025-06-04,1305.81
2025-06-04,1305.81
2025-06-04,1305.81
2025-06-05,1310.67
2025-06-06,1311.46
2025-06-07,1311.46
2025-06-08,1311.46
2025-06-09,1309.78
2025-06-10,1298.54
2025-06-11,1292.55
2025-06-12,1303.8
2025-06-13,1300.17
2025-06-14,1300.17
2025-06-15,1300.17
2025-06-16,1315.84
2025-06-17,1318.51
2025-06-18,1325.68
2025-06-19,1325.68
2025-06-20,1341.9
2025-06-21,1341.9
2025-06-22,1341.9
2025-06-23,1344.61
2025-06-24,1333.97
2025-06-25,1319.03
2025-06-26,1323.9
2025-06-27,1335.17
2025-06-28,1335.17
2025-06-29,1335.17
2025-06-30,1346.74
2025-07-01,1349.43
2025-07-02,1354.36
2025-07-03,1345.85
2025-07-04,1348.7
2025-07-05,1348.7
2025-07-06,1348.7
2025-07-07,1344.69
2025-07-08,1334.04
2025-07-09,1327.88
2025-07-10,1317.95
2025-07-11,1331.78
2025-07-12,1331.78
2025-07-13,1331.78
