day,price
2025-06-04,897.73
2025-06-04,897.73
2025-06-04,897.73
2025-06-05,894.66
2025-06-06,896.74
2025-06-07,896.74
2025-06-08,896.74
2025-06-09,897.53
2025-06-10,901.87
2025-06-11,902.98
2025-06-12,901.51
2025-06-13,901.34
2025-06-14,901.34
2025-06-15,901.34
2025-06-16,906.01
2025-06-17,904.53
2025-06-18,904.36
2025-06-19,904.36
2025-06-20,909.36
2025-06-21,909.36
2025-06-22,909.36
2025-06-23,911.12
2025-06-24,912.24
2025-06-25,909.47
2025-06-26,912.53
2025-07-01,875.89
2025-07-02,874.35
2025-07-03,873.48
2025-07-04,872.61
2025-07-05,872.61
