day,price
2025-06-04,897.73
2025-06-04,897.73
2025-06-04,897.73
2025-06-05,894.66
2025-06-06,896.74
2025-06-07,896.74
2025-06-08,896.74
2025-06-09,897.53
2025-06-10,901.87
2025-06-11,902.98
2025-06-12,901.51
2025-06-13,901.34
2025-06-14,901.34
2025-06-15,901.34
2025-06-16,906.01
2025-06-17,904.53
2025-06-18,904.36
2025-06-19,904.36
2025-06-20,909.36
2025-06-21,909.36
2025-06-22,909.36
2025-06-23,911.12
2025-06-24,912.24
2025-06-25,909.47
2025-06-26,912.53
2025-07-01,875.89
2025-07-02,874.35
2025-07-03,873.48
2025-07-04,872.61
2025-07-05,872.61
2025-07-06,872.61
2025-07-07,870.12
2025-07-08,869.92
2025-07-09,869.07
2025-07-10,863.07
2025-07-11,865.76
2025-07-12,865.76
2025-07-13,865.76
2025-07-14,865.25
2025-07-15,861.86
2025-07-16,859.13
2025-07-17,862.44
2025-07-18,859.72
2025-07-19,859.72
2025-07-20,859.72
2025-07-21,861.44
2025-07-22,865.7
2025-07-23,865.84
2025-07-24,865.65
2025-07-25,864.2
2025-07-26,864.2
2025-07-27,864.2
2025-07-28,864.97
2025-07-29,870.83
2025-07-30,869.05
2025-07-31,866.33
2025-08-01,869.95
2025-08-02,869.95
2025-08-03,869.95
2025-08-04,874.55
2025-08-05,873.4
2025-08-06,874.49
2025-08-07,877.5
2025-08-08,880.52
2025-08-09,880.52
2025-08-10,880.52
2025-08-11,881.94
2025-08-12,884.32
2025-08-13,882.19
