day,price
2025-06-04,4423.96
2025-06-04,4423.96
2025-06-04,4423.96
2025-06-05,4415.85
2025-06-06,4420.79
2025-06-07,4420.79
2025-06-08,4420.79
2025-06-09,4424.74
2025-06-10,4422.87
2025-06-11,4418.01
2025-06-12,4422.77
2025-06-13,4436.01
2025-06-14,4436.01
2025-06-15,4436.01
2025-06-16,4434.83
2025-06-17,4433.22
2025-06-18,4433.82
2025-06-19,4433.82
2025-06-20,4432.58
2025-06-21,4432.58
2025-06-22,4432.58
2025-06-23,4431.49
2025-06-24,4431.32
2025-06-25,4429.84
2025-06-26,4433.68
2025-06-27,4438.49
2025-06-28,4438.49
2025-06-29,4438.49
2025-06-30,4442.19
2025-07-01,4444.58
2025-07-02,4444.35
2025-07-03,4448.48
2025-07-04,4452.73
2025-07-05,4452.73
2025-07-06,4452.73
2025-07-07,4453.81
2025-07-08,4454.9
2025-07-09,4451.27
2025-07-10,4452.18
2025-07-11,4449.85
2025-07-12,4449.85
2025-07-13,4449.85
2025-07-14,4452.77
2025-07-15,4457.95
2025-07-16,4458.05
