day,price
2025-06-04,3601.58
2025-06-04,3601.58
2025-06-04,3601.58
2025-06-05,3591.5
2025-06-06,3598.58
2025-06-07,3598.58
2025-06-08,3598.58
2025-06-09,3602.96
2025-06-10,3600.02
2025-06-11,3589.94
2025-06-12,3595.17
2025-06-13,3603.87
2025-06-14,3603.87
2025-06-15,3603.87
2025-06-16,3607.2
2025-06-17,3601.93
2025-06-18,3602.7
2025-06-19,3602.7
2025-06-20,3603.79
2025-06-21,3603.79
2025-06-22,3603.79
2025-06-23,3603.31
2025-06-24,3605.68
2025-06-25,3602.37
2025-06-26,3608.52
2025-06-27,3610.26
2025-06-28,3610.26
2025-06-29,3610.26
2025-06-30,3615.38
2025-07-01,3620.5
2025-07-02,3621.83
2025-07-03,3626.95
2025-07-04,3628.73
2025-07-05,3628.73
2025-07-06,3628.73
2025-07-07,3625.34
2025-07-08,3623.85
2025-07-09,3617.68
2025-07-10,3608.46
2025-07-11,3607.67
2025-07-12,3607.67
2025-07-13,3607.67
2025-07-14,3612.8
2025-07-15,3612.49
2025-07-16,3609.4
2025-07-17,3611.87
2025-07-18,3610.54
2025-07-19,3610.54
2025-07-20,3610.54
2025-07-21,3609.32
2025-07-22,3616.4
2025-07-23,3616.11
2025-07-24,3616.74
2025-07-25,3620.95
2025-07-26,3620.95
2025-07-27,3620.95
2025-07-28,3622.66
2025-07-29,3628.82
2025-07-30,3627.63
2025-07-31,3623.71
2025-08-01,3629.77
2025-08-02,3629.77
2025-08-03,3629.77
2025-08-04,3635.0
2025-08-05,3637.48
2025-08-06,3638.13
2025-08-07,3639.69
2025-08-08,3648.5
