day,price
2025-06-04,40.23
2025-06-04,40.23
2025-06-04,40.23
2025-06-04,40.23
2025-06-04,40.23
2025-06-05,40.22
2025-06-06,40.34
2025-06-07,40.34
2025-06-08,40.34
2025-06-09,40.38
2025-06-10,40.44
2025-06-11,40.42
2025-06-12,40.75
2025-06-13,40.24
2025-06-14,40.24
2025-06-15,40.24
2025-06-16,40.46
2025-06-17,39.95
2025-06-18,40.05
2025-06-19,40.05
2025-06-20,39.72
2025-06-21,39.72
2025-06-22,39.72
2025-06-23,39.33
2025-06-24,39.89
2025-06-25,39.64
2025-06-26,40.13
2025-06-27,40.38
2025-06-28,40.38
2025-06-29,40.38
2025-06-30,40.49
2025-07-01,40.44
2025-07-02,40.58
2025-07-03,40.64
2025-07-04,40.64
2025-07-05,40.64
2025-07-06,40.64
2025-07-07,40.14
2025-07-08,40.42
2025-07-09,40.7
2025-07-10,40.73
2025-07-11,40.38
2025-07-12,40.38
2025-07-13,40.38
2025-07-14,40.43
2025-07-15,40
2025-07-16,40.21
2025-07-17,40.32
2025-07-18,40.22
2025-07-19,40.22
2025-07-20,40.22
2025-07-21,40.46
2025-07-22,40.67
2025-07-23,41.58
2025-07-24,41.29
2025-07-25,41.22
2025-07-26,41.22
2025-07-27,41.22
2025-07-28,40.63
2025-07-29,40.59
2025-07-30,40.32
2025-07-31,39.92
2025-08-01,39.8
2025-08-02,39.8
2025-08-03,39.8
2025-08-04,40.37
2025-08-05,40.41
2025-08-06,40.72
2025-08-07,41
2025-08-08,41.2
2025-08-09,41.2
2025-08-10,41.2
2025-08-11,41.03
2025-08-12,41.52
2025-08-13,41.72
2025-08-14,41.62
2025-08-15,41.86
2025-08-16,41.86
2025-08-17,41.86
2025-08-18,41.82
2025-08-19,41.73
2025-08-20,41.82
2025-08-21,41.63
2025-08-22,42.32
2025-08-23,42.32
2025-08-24,42.32
2025-08-25,41.82
2025-08-26,41.82
2025-08-27,41.75
2025-08-28,41.92
2025-08-29,41.74
2025-08-30,41.74
2025-08-31,41.74
2025-09-01,41.74
2025-09-02,41.36
2025-09-03,41.46
2025-09-04,41.73
2025-09-05,41.93
2025-09-06,41.93
2025-09-07,41.93
2025-09-08,42.36
2025-09-09,42.22
2025-09-10,42.27
2025-09-11,42.72
2025-09-12,42.54
2025-09-13,42.54
2025-09-14,42.54
2025-09-15,42.86
2025-09-16,42.78
2025-09-17,42.68
2025-09-18,42.8
2025-09-19,42.65
2025-09-20,42.65
2025-09-21,42.65
2025-09-22,42.86
2025-09-23,42.78
2025-09-24,42.47
2025-09-25,42.19
2025-09-26,42.44
2025-09-27,42.44
2025-09-28,42.44
2025-09-29,42.65
2025-09-30,42.79
2025-10-01,43.12
2025-10-02,43.2
2025-10-03,43.58
2025-10-04,43.58
2025-10-05,43.58
2025-10-06,43.69
2025-10-07,43.3
2025-10-08,43.45
2025-10-09,43.12
2025-10-10,42.26
2025-10-11,42.26
2025-10-12,42.26
2025-10-13,42.7
2025-10-14,42.86
2025-10-15,43.14
2025-10-16,43.28
2025-10-17,43.32
2025-10-18,43.32
2025-10-19,43.32
2025-10-20,43.73
2025-10-21,43.34
2025-10-22,43.33
2025-10-23,43.55
2025-10-24,43.71
2025-10-25,43.71
2025-10-26,43.71
2025-10-27,44.02
2025-10-28,44.01
2025-10-29,43.77
2025-10-30,43.58
2025-10-31,43.53
2025-11-01,43.53
2025-11-02,43.53
2025-11-03,43.63
2025-11-04,43.06
2025-11-05,43.32
2025-11-06,43.11
2025-11-07,43.25
2025-11-08,43.25
2025-11-09,43.25
2025-11-11,44.03
2025-11-12,44.33
2025-11-13,43.81
2025-11-14,43.76
2025-11-15,43.76
2025-11-16,43.76
2025-11-17,43.23
2025-11-18,42.77
2025-11-19,42.6
2025-11-20,42.01
2025-11-21,42.61
2025-11-22,42.61
2025-11-23,42.61
2025-11-24,42.72
2025-11-25,43.2
2025-11-26,43.71
2025-11-27,43.71
2025-11-28,43.86
2025-11-29,43.86
2025-11-30,43.86
2025-12-01,43.65
2025-12-02,43.79
2025-12-03,44.04
2025-12-04,44.16
2025-12-05,44.2
2025-12-06,44.2
2025-12-07,44.2
2025-12-08,44.12
2025-12-09,44.09
2025-12-10,44.58
2025-12-11,44.79
2025-12-12,44.52
2025-12-13,44.52
2025-12-14,44.52
2025-12-15,44.78
2025-12-16,44.55
2025-12-17,44.23
2025-12-18,44.51
2025-12-19,44.78
2025-12-20,44.78
2025-12-21,44.78
2025-12-22,44.18
2025-12-23,44.48
2025-12-24,44.55
2025-12-25,44.55
2025-12-26,44.61
2025-12-27,44.61
2025-12-28,44.61
2025-12-29,44.61
2025-12-30,44.6
2025-12-31,44.41
2026-01-01,44.41
2026-01-02,44.93
2026-01-03,44.93
2026-01-04,44.93
2026-01-05,45.48
2026-01-06,45.6
2026-01-07,45.45
2026-01-08,45.47
2026-01-09,45.89
2026-01-10,45.89
2026-01-11,45.89
2026-01-12,46.16
2026-01-13,45.88
2026-01-14,46.14
2026-01-15,46.17
2026-01-16,46.28
2026-01-17,46.28
2026-01-18,46.28
2026-01-19,46.28
2026-01-20,45.69
2026-01-21,46.21
2026-01-22,46.41
2026-01-23,46.74
2026-01-24,46.74
2026-01-25,46.74
2026-01-26,46.92
2026-01-27,47.68
2026-01-28,47.34
2026-01-29,47.64
2026-01-30,46.98
2026-01-31,46.98
2026-02-01,46.98
2026-02-02,47.24
2026-02-03,47.4
2026-02-04,47.45
2026-02-05,46.8
2026-02-06,47.84
2026-02-07,47.84
2026-02-08,47.84
2026-02-09,48.56
2026-02-10,48.7
2026-02-11,49.08
2026-02-12,48.65
2026-02-13,48.82
2026-02-14,48.82
2026-02-15,48.82
2026-02-16,48.82
2026-02-17,48.71
2026-02-18,48.86
2026-02-19,48.86
2026-02-20,49.37
2026-02-21,49.37
2026-02-22,49.37
2026-02-23,49.12
2026-02-24,49.35
2026-02-25,49.87
2026-02-26,49.96
