day,price
2025-06-04,40.23
2025-06-04,40.23
2025-06-04,40.23
2025-06-04,40.23
2025-06-04,40.23
2025-06-05,40.22
2025-06-06,40.34
2025-06-07,40.34
2025-06-08,40.34
2025-06-09,40.38
2025-06-10,40.44
2025-06-11,40.42
2025-06-12,40.75
2025-06-13,40.24
2025-06-14,40.24
2025-06-15,40.24
2025-06-16,40.46
2025-06-17,39.95
2025-06-18,40.05
2025-06-19,40.05
2025-06-20,39.72
2025-06-21,39.72
2025-06-22,39.72
2025-06-23,39.33
2025-06-24,39.89
2025-06-25,39.64
2025-06-26,40.13
2025-06-27,40.38
2025-06-28,40.38
2025-06-29,40.38
2025-06-30,40.49
2025-07-01,40.44
2025-07-02,40.58
2025-07-03,40.64
2025-07-04,40.64
2025-07-05,40.64
2025-07-06,40.64
2025-07-07,40.14
2025-07-08,40.42
2025-07-09,40.7
2025-07-10,40.73
2025-07-11,40.38
2025-07-12,40.38
2025-07-13,40.38
2025-07-14,40.43
2025-07-15,40
2025-07-16,40.21
2025-07-17,40.32
2025-07-18,40.22
2025-07-19,40.22
2025-07-20,40.22
2025-07-21,40.46
2025-07-22,40.67
2025-07-23,41.58
2025-07-24,41.29
2025-07-25,41.22
2025-07-26,41.22
2025-07-27,41.22
2025-07-28,40.63
2025-07-29,40.59
2025-07-30,40.32
2025-07-31,39.92
2025-08-01,39.8
2025-08-02,39.8
2025-08-03,39.8
2025-08-04,40.37
2025-08-05,40.41
2025-08-06,40.72
2025-08-07,41
2025-08-08,41.2
2025-08-09,41.2
2025-08-10,41.2
2025-08-11,41.03
2025-08-12,41.52
2025-08-13,41.72
2025-08-14,41.62
2025-08-15,41.86
2025-08-16,41.86
2025-08-17,41.86
2025-08-18,41.82
2025-08-19,41.73
2025-08-20,41.82
2025-08-21,41.63
2025-08-22,42.32
2025-08-23,42.32
2025-08-24,42.32
2025-08-25,41.82
2025-08-26,41.82
2025-08-27,41.75
2025-08-28,41.92
2025-08-29,41.74
2025-08-30,41.74
2025-08-31,41.74
2025-09-01,41.74
2025-09-02,41.36
2025-09-03,41.46
2025-09-04,41.73
2025-09-05,41.93
2025-09-06,41.93
2025-09-07,41.93
2025-09-08,42.36
2025-09-09,42.22
2025-09-10,42.27
2025-09-11,42.72
2025-09-12,42.54
2025-09-13,42.54
2025-09-14,42.54
2025-09-15,42.86
2025-09-16,42.78
2025-09-17,42.68
2025-09-18,42.8
2025-09-19,42.65
2025-09-20,42.65
2025-09-21,42.65
2025-09-22,42.86
2025-09-23,42.78
2025-09-24,42.47
2025-09-25,42.19
2025-09-26,42.44
2025-09-27,42.44
2025-09-28,42.44
2025-09-29,42.65
2025-09-30,42.79
2025-10-01,43.12
2025-10-02,43.2
2025-10-03,43.58
2025-10-04,43.58
2025-10-05,43.58
2025-10-06,43.69
2025-10-07,43.3
2025-10-08,43.45
2025-10-09,43.12
2025-10-10,42.26
